,Team,Qualifying,Grid,Eff_Grid,Finish,Qual_Pts,Fin_Pts,Team_Pts,Movement_Pts,Completion,Fst_Lap,Total_Race_Pts
Sebastian Vettel,Ferrari,3,3,3,3,2,8,1,0,3,0,14
Kimi Räikkönen,Ferrari,4,4,4,4,2,7,0,0,3,0,12
Sergio Pérez,Force India-Mercedes,8,8,8,8,2,3,1,0,3,0,9
Nico Hülkenberg,Force India-Mercedes,9,9,9,10,2,1,0,0,3,0,6
Esteban Gutiérrez,Haas-Ferrari,10,10,,Ret,2,0,0,0,3,0,5
Romain Grosjean,Haas-Ferrari,12,17,,Ret,1,0,0,0,3,0,4
Pascal Wehrlein,MRT-Mercedes,14,13,,Ret,1,0,0,0,0,0,1
Esteban Ocon,MRT-Mercedes,DNF,22,,Ret,0,0,0,0,3,0,3
Fernando Alonso,McLaren-Honda,13,12,,Ret,1,0,0,0,3,2,6
Jenson Button,McLaren-Honda,15,14,,Ret,1,0,0,0,3,0,4
Nico Rosberg,Mercedes,2,2,2,1,2,10,1,1,3,0,17
Lewis Hamilton,Mercedes,1,1,1,2,3,9,0,0,3,0,15
Daniel Ricciardo,Red Bull Racing-TAG Heuer,6,6,6,5,2,6,1,1,3,0,13
Max Verstappen,Red Bull Racing-TAG Heuer,7,7,7,7,2,4,0,0,3,0,9
Kevin Magnussen,Renault,21,21,11,17,0,0,1,0,3,0,4
Jolyon Palmer,Renault,20,20,,Ret,0,0,0,0,0,0,0
Felipe Nasr,Sauber-Ferrari,18,18,,Ret,0,0,0,0,0,0,0
Marcus Ericsson,Sauber-Ferrari,19,19,,Ret,0,0,0,0,3,0,3
Carlos Sainz Jr.,Toro Rosso-Ferrari,16,15,,Ret,1,0,0,0,3,0,4
Daniil Kvyat,Toro Rosso-Ferrari,17,16,,Ret,0,0,0,0,1,0,1
Valtteri Bottas,Williams-Mercedes,5,5,5,6,2,5,1,0,3,0,11
Felipe Massa,Williams-Mercedes,11,11,10,9,1,2,0,1,3,0,7
