,Team,Qualifying,Grid,Eff_Grid,Finish,Qual_Pts,Fin_Pts,Team_Pts,Movement_Pts,Completion,Fst_Lap,Total_Race_Pts
Sebastian Vettel,Ferrari,4,6,6,4,2,7,1,2,3,2,17
Kimi Räikkönen,Ferrari,3,8,8,5,2,6,0,3,3,0,14
Sergio Pérez,Force India-Mercedes,7,5,5,7,2,4,1,0,3,0,10
Nico Hülkenberg,Force India-Mercedes,9,9,9,8,2,3,0,1,3,0,9
Romain Grosjean,Haas-Ferrari,8,7,7,11,2,0,1,0,3,0,6
Esteban Gutiérrez,Haas-Ferrari,10,10,10,20,2,0,0,0,3,0,5
Esteban Ocon,MRT-Mercedes,21,20,20,21,0,0,1,0,3,0,4
Pascal Wehrlein,MRT-Mercedes,22,21,21,22,0,0,0,0,3,0,3
Fernando Alonso,McLaren-Honda,15,15,15,16,1,0,1,0,3,0,5
Jenson Button,McLaren-Honda,17,22,22,18,0,0,0,4,3,0,7
Nico Rosberg,Mercedes,1,1,1,1,3,10,1,0,3,0,17
Lewis Hamilton,Mercedes,2,2,2,3,2,8,0,0,3,0,13
Max Verstappen,Red Bull Racing-TAG Heuer,5,3,3,2,2,9,1,1,3,0,16
Daniel Ricciardo,Red Bull Racing-TAG Heuer,6,4,4,6,2,5,0,0,3,0,10
Jolyon Palmer,Renault,16,16,16,12,1,0,1,4,3,0,9
Kevin Magnussen,Renault,18,17,17,14,0,0,0,3,3,0,6
Marcus Ericsson,Sauber-Ferrari,19,18,18,15,0,0,1,3,3,0,7
Felipe Nasr,Sauber-Ferrari,20,19,19,19,0,0,0,0,3,0,3
Daniil Kvyat,Toro Rosso-Ferrari,13,13,13,13,1,0,1,0,3,0,5
Carlos Sainz Jr.,Toro Rosso-Ferrari,14,14,14,17,1,0,0,0,3,0,4
Felipe Massa,Williams-Mercedes,12,12,12,9,1,2,1,3,3,0,10
Valtteri Bottas,Williams-Mercedes,11,11,11,10,1,1,0,1,3,0,6
