,Team,Qualifying,Grid,Eff_Grid,Finish,Qual_Pts,Fin_Pts,Team_Pts,Movement_Pts,Completion,Fst_Lap,Total_Race_Pts
Kimi Räikkönen,Ferrari,6,6,4,4,2,7,1,0,3,0,13
Sebastian Vettel,Ferrari,5,5,,Ret,2,0,0,0,0,0,2
Sergio Pérez,Force India-Mercedes,7,7,5,6,2,5,1,0,3,0,11
Nico Hülkenberg,Force India-Mercedes,8,8,6,8,2,3,0,0,3,0,8
Romain Grosjean,Haas-Ferrari,12,12,,Ret,1,0,0,0,0,0,1
Esteban Gutiérrez,Haas-Ferrari,13,13,,Ret,1,0,0,0,1,0,2
Pascal Wehrlein,MRT-Mercedes,21,21,15,15,0,0,1,0,3,0,4
Esteban Ocon,MRT-Mercedes,20,20,14,16,0,0,0,0,3,0,3
Fernando Alonso,McLaren-Honda,22,22,16,7,0,4,1,9,3,0,17
Jenson Button,McLaren-Honda,9,9,7,9,2,2,0,0,3,0,7
Nico Rosberg,Mercedes,2,2,1,3,2,8,1,0,3,2,16
Lewis Hamilton,Mercedes,1,1,,Ret,3,0,0,0,1,0,4
Daniel Ricciardo,Red Bull Racing-TAG Heuer,4,4,3,1,2,10,1,2,3,0,18
Max Verstappen,Red Bull Racing-TAG Heuer,3,3,2,2,2,9,0,0,3,0,14
Jolyon Palmer,Renault,19,19,13,10,0,1,1,3,3,0,8
Kevin Magnussen,Renault,14,14,,Ret,1,0,0,0,0,0,1
Marcus Ericsson,Sauber-Ferrari,17,17,12,12,0,0,1,0,3,0,4
Felipe Nasr,Sauber-Ferrari,18,18,,Ret,0,0,0,0,1,0,1
Carlos Sainz Jr.,Toro Rosso-Ferrari,16,16,11,11,1,0,1,0,3,0,5
Daniil Kvyat,Toro Rosso-Ferrari,15,15,10,14,1,0,0,0,3,0,4
Valtteri Bottas,Williams-Mercedes,11,11,9,5,1,6,1,4,3,0,15
Felipe Massa,Williams-Mercedes,10,10,8,13,2,0,0,0,3,0,5
