,Team,Qualifying,Grid,Eff_Grid,Finish,Qual_Pts,Fin_Pts,Team_Pts,Movement_Pts,Completion,Fst_Lap,Total_Race_Pts
Sebastian Vettel,Ferrari,7,7,7,5,2,6,1,2,3,0,14
Kimi Räikkönen,Ferrari,6,6,6,6,2,5,0,0,3,0,10
Nico Hülkenberg,Force India-Mercedes,5,5,5,7,2,4,1,0,3,0,10
Sergio Pérez,Force India-Mercedes,12,12,12,10,1,1,0,2,3,0,7
Esteban Gutiérrez,Haas-Ferrari,17,17,16,19,0,0,1,0,3,0,4
Romain Grosjean,Haas-Ferrari,21,PL,21,20,0,0,0,1,3,0,4
Esteban Ocon,MRT-Mercedes,20,20,19,21,0,0,1,0,3,0,4
Pascal Wehrlein,MRT-Mercedes,16,16,,Ret,1,0,0,0,0,0,1
Jenson Button,McLaren-Honda,13,13,13,12,1,0,1,1,3,0,6
Fernando Alonso,McLaren-Honda,11,11,11,13,1,0,0,0,3,0,4
Lewis Hamilton,Mercedes,1,1,1,1,3,10,1,0,3,0,17
Nico Rosberg,Mercedes,2,2,2,2,2,9,0,0,3,0,14
Daniel Ricciardo,Red Bull Racing-TAG Heuer,4,4,4,3,2,8,1,1,3,2,17
Max Verstappen,Red Bull Racing-TAG Heuer,3,3,3,4,2,7,0,0,3,0,12
Jolyon Palmer,Renault,DNF,21,20,14,0,0,1,6,3,0,10
Kevin Magnussen,Renault,14,14,14,17,1,0,0,0,3,0,4
Marcus Ericsson,Sauber-Ferrari,15,15,15,11,1,0,1,4,3,0,9
Felipe Nasr,Sauber-Ferrari,19,19,18,15,0,0,0,3,3,0,6
Carlos Sainz Jr.,Toro Rosso-Ferrari,10,10,10,16,2,0,1,0,3,0,6
Daniil Kvyat,Toro Rosso-Ferrari,18,18,17,18,0,0,0,0,3,0,3
Valtteri Bottas,Williams-Mercedes,8,8,8,8,2,3,1,0,3,0,9
Felipe Massa,Williams-Mercedes,9,9,9,9,2,2,0,0,3,0,7
