,Team,Qualifying,Grid,Eff_Grid,Finish,Qual_Pts,Fin_Pts,Team_Pts,Movement_Pts,Completion,Fst_Lap,Total_Race_Pts
Sebastian Vettel,Ferrari,4,4,4,4,2,7,1,0,3,0,13
Kimi Räikkönen,Ferrari,6,11,,Ret,2,0,0,0,0,0,2
Sergio Pérez,Force India-Mercedes,8,7,7,3,2,8,1,4,3,0,18
Nico Hülkenberg,Force India-Mercedes,5,5,5,6,2,5,0,0,3,0,10
Esteban Gutiérrez,Haas-Ferrari,12,12,10,11,1,0,1,0,3,0,5
Romain Grosjean,Haas-Ferrari,15,15,13,13,1,0,0,0,3,0,4
Pascal Wehrlein,MRT-Mercedes,20,20,15,14,0,0,1,1,3,0,5
Rio Haryanto,MRT-Mercedes,19,19,14,15,0,0,0,0,3,0,3
Fernando Alonso,McLaren-Honda,10,9,8,5,2,6,1,3,3,0,15
Jenson Button,McLaren-Honda,13,13,11,9,1,2,0,2,3,0,8
Lewis Hamilton,Mercedes,3,3,3,1,2,10,1,2,3,2,20
Nico Rosberg,Mercedes,2,2,2,7,2,4,0,0,3,0,9
Daniel Ricciardo,Red Bull Racing-TAG Heuer,1,1,1,2,3,9,1,0,3,0,16
Max Verstappen,Red Bull Racing-TAG Heuer,DNF,PL,,Ret,0,0,0,0,0,0,0
Jolyon Palmer,Renault,18,18,,Ret,0,0,0,0,0,0,0
Kevin Magnussen,Renault,16,16,,Ret,1,0,0,0,0,0,1
Marcus Ericsson,Sauber-Ferrari,17,17,,Ret,0,0,0,0,1,0,1
Felipe Nasr,Sauber-Ferrari,DNF,PL,,Ret,0,0,0,0,1,0,1
Carlos Sainz Jr.,Toro Rosso-Ferrari,7,6,6,8,2,3,1,0,3,0,9
Daniil Kvyat,Toro Rosso-Ferrari,9,8,,Ret,2,0,0,0,0,0,2
Felipe Massa,Williams-Mercedes,14,14,12,10,1,1,1,2,3,0,8
Valtteri Bottas,Williams-Mercedes,11,10,9,12,1,0,0,0,3,0,4
