,Team,Qualifying,Grid,Eff_Grid,Finish,Qual_Pts,Fin_Pts,Team_Pts,Movement_Pts,Completion,Fst_Lap,Total_Race_Pts
Kimi Räikkönen,Ferrari,4,3,3,3,2,8,1,0,3,0,14
Sebastian Vettel,Ferrari,2,7,,Ret,2,0,0,0,0,0,2
Sergio Pérez,Force India-Mercedes,7,6,6,9,2,2,1,0,3,0,8
Nico Hülkenberg,Force India-Mercedes,13,13,,Ret,1,0,0,0,0,0,1
Romain Grosjean,Haas-Ferrari,15,15,12,8,1,3,1,4,3,0,12
Esteban Gutiérrez,Haas-Ferrari,16,16,13,17,1,0,0,0,3,0,4
Pascal Wehrlein,MRT-Mercedes,20,20,17,18,0,0,1,0,3,0,4
Rio Haryanto,MRT-Mercedes,21,21,,Ret,0,0,0,0,0,0,0
Fernando Alonso,McLaren-Honda,14,14,11,6,1,5,1,5,3,0,15
Jenson Button,McLaren-Honda,12,12,10,10,1,1,0,0,3,0,5
Nico Rosberg,Mercedes,1,1,1,1,3,10,1,0,3,2,19
Lewis Hamilton,Mercedes,10,10,8,2,2,9,0,6,3,0,20
Daniel Ricciardo,Red Bull Racing-TAG Heuer,6,5,5,11,2,0,1,0,3,0,6
Daniil Kvyat,Red Bull Racing-TAG Heuer,8,8,7,15,2,0,0,0,3,0,5
Kevin Magnussen,Renault,17,17,14,7,0,4,1,7,3,0,15
Jolyon Palmer,Renault,18,18,15,13,0,0,0,2,3,0,5
Marcus Ericsson,Sauber-Ferrari,22,22,18,14,0,0,1,4,3,0,8
Felipe Nasr,Sauber-Ferrari,19,19,16,16,0,0,0,0,3,0,3
Carlos Sainz Jr.,Toro Rosso-Ferrari,11,11,9,12,1,0,1,0,3,0,5
Max Verstappen,Toro Rosso-Ferrari,9,9,,Ret,2,0,0,0,1,0,3
Valtteri Bottas,Williams-Mercedes,3,2,2,4,2,7,1,0,3,0,13
Felipe Massa,Williams-Mercedes,5,4,4,5,2,6,0,0,3,0,11
