,Team,Qualifying,Grid,Eff_Grid,Finish,Qual_Pts,Fin_Pts,Team_Pts,Movement_Pts,Completion,Fst_Lap,Total_Race_Pts
Kimi Räikkönen,Ferrari,5,5,5,4,2,7,1,1,3,0,14
Sebastian Vettel,Ferrari,22,22,18,5,0,6,0,10,3,0,19
Sergio Pérez,Force India-Mercedes,10,17,14,8,2,3,1,6,3,0,15
Nico Hülkenberg,Force India-Mercedes,8,8,,Ret,2,0,0,0,0,0,2
Esteban Gutiérrez,Haas-Ferrari,14,13,10,11,1,0,1,0,3,0,5
Romain Grosjean,Haas-Ferrari,15,20,,DNS,1,0,0,0,0,0,1
Pascal Wehrlein,MRT-Mercedes,20,19,16,16,0,0,1,0,3,0,4
Esteban Ocon,MRT-Mercedes,21,21,17,18,0,0,0,0,3,0,3
Fernando Alonso,McLaren-Honda,9,9,8,7,2,4,1,1,3,0,11
Jenson Button,McLaren-Honda,13,12,,Ret,1,0,0,0,1,0,2
Nico Rosberg,Mercedes,1,1,1,1,3,10,1,0,3,0,17
Lewis Hamilton,Mercedes,3,3,3,3,2,8,0,0,3,0,13
Daniel Ricciardo,Red Bull Racing-TAG Heuer,2,2,2,2,2,9,1,0,3,2,17
Max Verstappen,Red Bull Racing-TAG Heuer,4,4,4,6,2,5,0,0,3,0,10
Kevin Magnussen,Renault,17,15,12,10,0,1,1,2,3,0,7
Jolyon Palmer,Renault,19,18,15,15,0,0,0,0,3,0,3
Felipe Nasr,Sauber-Ferrari,18,16,13,13,0,0,1,0,3,0,4
Marcus Ericsson,Sauber-Ferrari,16,14,11,17,1,0,0,0,3,0,4
Daniil Kvyat,Toro Rosso-Ferrari,7,7,7,9,2,2,1,0,3,0,8
Carlos Sainz Jr.,Toro Rosso-Ferrari,6,6,6,14,2,0,0,0,3,0,5
Felipe Massa,Williams-Mercedes,12,11,9,12,1,0,1,0,3,0,5
Valtteri Bottas,Williams-Mercedes,11,10,,Ret,1,0,0,0,1,0,2
