,Team,Qualifying,Grid,Eff_Grid,Finish,Qual_Pts,Fin_Pts,Team_Pts,Movement_Pts,Completion,Fst_Lap,Total_Race_Pts
Kimi Räikkönen,Ferrari,5,5,3,2,2,9,1,1,3,0,16
Sebastian Vettel,Ferrari,6,6,4,3,2,8,0,1,3,0,14
Sergio Pérez,Force India-Mercedes,9,9,7,7,2,4,1,0,3,0,10
Nico Hülkenberg,Force India-Mercedes,11,11,,Ret,1,0,0,0,0,0,1
Esteban Gutiérrez,Haas-Ferrari,16,16,11,11,1,0,1,0,3,0,5
Romain Grosjean,Haas-Ferrari,14,14,,Ret,1,0,0,0,1,0,2
Pascal Wehrlein,MRT-Mercedes,21,21,16,16,0,0,1,0,3,0,4
Rio Haryanto,MRT-Mercedes,22,22,17,17,0,0,0,0,3,0,3
Jenson Button,McLaren-Honda,12,12,8,9,1,2,1,0,3,0,7
Fernando Alonso,McLaren-Honda,10,10,,Ret,2,0,0,0,1,0,3
Nico Rosberg,Mercedes,2,2,,Ret,2,0,0,0,0,0,2
Lewis Hamilton,Mercedes,1,1,,Ret,3,0,0,0,0,0,3
Max Verstappen,Red Bull Racing-TAG Heuer,4,4,2,1,2,10,1,1,3,0,17
Daniel Ricciardo,Red Bull Racing-TAG Heuer,3,3,1,4,2,7,0,0,3,0,12
Jolyon Palmer,Renault,17,17,12,13,0,0,1,0,3,0,4
Kevin Magnussen,Renault,15,15,10,15,1,0,0,0,3,0,4
Marcus Ericsson,Sauber-Ferrari,19,19,14,12,0,0,1,2,3,0,6
Felipe Nasr,Sauber-Ferrari,20,20,15,14,0,0,0,1,3,0,4
Carlos Sainz Jr.,Toro Rosso-Ferrari,8,8,6,6,2,5,1,0,3,0,11
Daniil Kvyat,Toro Rosso-Ferrari,13,13,9,10,1,1,0,0,3,2,7
Valtteri Bottas,Williams-Mercedes,7,7,5,5,2,6,1,0,3,0,12
Felipe Massa,Williams-Mercedes,18,18,13,8,0,3,0,5,3,0,11
