,Team,Qualifying,Grid,Eff_Grid,Finish,Qual_Pts,Fin_Pts,Team_Pts,Movement_Pts,Completion,Fst_Lap,Total_Race_Pts
Kimi Räikkönen,Ferrari,5,5,5,5,2,6,1,0,3,0,12
Sebastian Vettel,Ferrari,6,11,11,9,2,2,0,2,3,0,9
Sergio Pérez,Force India-Mercedes,11,10,10,6,1,5,1,4,3,0,14
Nico Hülkenberg,Force India-Mercedes,9,8,8,7,2,4,0,1,3,0,10
Esteban Gutiérrez,Haas-Ferrari,14,14,13,16,1,0,1,0,3,0,5
Romain Grosjean,Haas-Ferrari,13,13,,Ret,1,0,0,0,0,0,1
Pascal Wehrlein,MRT-Mercedes,20,20,,Ret,0,0,0,0,0,0,0
Rio Haryanto,MRT-Mercedes,19,19,,Ret,0,0,0,0,0,0,0
Jenson Button,McLaren-Honda,17,17,16,12,0,0,1,4,3,0,8
Fernando Alonso,McLaren-Honda,10,9,9,13,2,0,0,0,3,0,5
Lewis Hamilton,Mercedes,1,1,1,1,3,10,1,0,3,0,17
Nico Rosberg,Mercedes,2,2,2,3,2,8,0,0,3,2,15
Max Verstappen,Red Bull Racing-TAG Heuer,3,3,3,2,2,9,1,1,3,0,16
Daniel Ricciardo,Red Bull Racing-TAG Heuer,4,4,4,4,2,7,0,0,3,0,12
Kevin Magnussen,Renault,16,16,15,17,1,0,1,0,3,0,5
Jolyon Palmer,Renault,18,18,,Ret,0,0,0,0,1,0,1
Felipe Nasr,Sauber-Ferrari,21,21,17,15,0,0,1,2,3,0,6
Marcus Ericsson,Sauber-Ferrari,DNF,PL,,Ret,0,0,0,0,0,0,0
Carlos Sainz Jr.,Toro Rosso-Ferrari,8,7,7,8,2,3,1,0,3,0,9
Daniil Kvyat,Toro Rosso-Ferrari,15,15,14,10,1,1,0,4,3,0,9
Felipe Massa,Williams-Mercedes,12,12,12,11,1,0,1,1,3,0,6
Valtteri Bottas,Williams-Mercedes,7,6,6,14,2,0,0,0,3,0,5
