,Team,Qualifying,Grid,Eff_Grid,Finish,Qual_Pts,Fin_Pts,Team_Pts,Movement_Pts,Completion,Fst_Lap,Total_Race_Pts
Sebastian Vettel,Ferrari,6,6,4,4,2,7,1,0,3,2,15
Kimi Räikkönen,Ferrari,5,5,,Ret,2,0,0,0,1,0,3
Sergio Pérez,Force India-Mercedes,11,11,8,8,1,3,1,0,3,0,8
Nico Hülkenberg,Force India-Mercedes,7,7,,Ret,2,0,0,0,0,0,2
Romain Grosjean,Haas-Ferrari,17,17,13,10,0,1,1,3,3,0,8
Esteban Gutiérrez,Haas-Ferrari,14,14,,Ret,1,0,0,0,0,0,1
Pascal Wehrlein,MRT-Mercedes,20,20,16,17,0,0,1,0,3,0,4
Esteban Ocon,MRT-Mercedes,22,22,18,18,0,0,0,0,3,0,3
Fernando Alonso,McLaren-Honda,12,12,9,5,1,6,1,4,3,0,15
Jenson Button,McLaren-Honda,19,19,15,9,0,2,0,6,3,0,11
Lewis Hamilton,Mercedes,1,1,1,1,3,10,1,0,3,0,17
Nico Rosberg,Mercedes,2,2,2,2,2,9,0,0,3,0,14
Daniel Ricciardo,Red Bull Racing-TAG Heuer,3,3,3,3,2,8,1,0,3,0,14
Max Verstappen,Red Bull Racing-TAG Heuer,4,4,,Ret,2,0,0,0,1,0,3
Kevin Magnussen,Renault,18,18,14,12,0,0,1,2,3,0,6
Jolyon Palmer,Renault,15,15,11,13,1,0,0,0,3,0,4
Marcus Ericsson,Sauber-Ferrari,16,16,12,14,1,0,1,0,3,0,5
Felipe Nasr,Sauber-Ferrari,21,21,17,15,0,0,0,2,3,0,5
Carlos Sainz Jr.,Toro Rosso-Ferrari,10,10,7,6,2,5,1,1,3,0,12
Daniil Kvyat,Toro Rosso-Ferrari,13,13,10,11,1,0,0,0,3,0,4
Felipe Massa,Williams-Mercedes,9,9,6,7,2,4,1,0,3,0,10
Valtteri Bottas,Williams-Mercedes,8,8,5,16,2,0,0,0,3,0,5
